#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;Series;Language;Region;Rating
Die Hard (Original) (Physics 2.5);Die Hard;Future Pinball;;2012;Original;;;;;;0;;;;;;;;;
Doctor Who (Bally) (1992) (beta);Doctor Who;Future Pinball;;1992;Bally;;;;;;0;;;;;;;;;
Dolly Parton (Bally) (1978) (1.2);Dolly Parton;Future Pinball;;1978;Bally;;;;;;0;;;;;;;;;
Dr Dude (Bally) (1990) (1.0);Dr Dude;Future Pinball;;1990;Bally;;;;;;0;;;;;;;;;
Dragons Lair (Original) (2015) (1.00);Dragons Lair;Future Pinball;;2015;Original;;;;;;0;;;;;;;;;
Dredd (Original) (2014) (1.0);Dredd;Future Pinball;;2014;Original;;;;;;0;;;;;;;;;
Duck Tales (Original) (2014) (Special Edition);Duck Tales (Special Edition);Future Pinball;;2014;Original;;;;;;0;;;;;;;;;
Duke Nukem Forever (Original) (1.3);Duke Nukem Forever;Future Pinball;;2012;Original;;;;;;0;;;;;;;;;
Earthshaker (Williams) (1989) (1.0);Earthshaker;Future Pinball;;1989;Williams;;;;;;0;;;;;;;;;
Eight Ball (Bally) (1977)  (UE) (1.04);Eight Ball (Ultra Edition);Future Pinball;;1977;Bally;;;;;;0;;;;;;;;;
Eight Ball Champ (Bally) (1985) (1.3);Eight Ball Champ;Future Pinball;;1985;Bally;;;;;;0;;;;;;;;;
Eight Ball Deluxe (Bally) (1980) (2.1);Eight Ball Deluxe;Future Pinball;;1980;Bally;;;;;;0;;;;;;;;;
El Dorado (Gottlieb) (1976) (1.0);El Dorado;Future Pinball;;1976;Gottlieb;;;;;;0;;;;;;;;;
Elektra (Bally) (1981) (1.0);Elektra;Future Pinball;;1981;Bally;;;;;;0;;;;;;;;;
Elvira And The Party Monster (Bally) (1989) (beta);Elvira And The Party Monster;Future Pinball;;1989;Bally;;;;;;0;;;;;;;;;
Elvis (Stern) (2004) (1.1);Elvis;Future Pinball;;2004;Stern;;;;;;0;;;;;;;;;
Elysium (Original) (2014) (1.2);Elysium;Future Pinball;;2014;Original;;;;;;0;;;;;;;;;
Embryon (Bally) (1980) (1.2);Embryon;Future Pinball;;1980;Bally;;;;;;0;;;;;;;;;
Evel Knievel (Bally) (1977) (1.02);Evel Knievel;Future Pinball;;1977;Bally;;;;;;0;;;;;;;;;
Expo (Williams) (1969) (1.00);Expo;Future Pinball;;1969;Williams;;;;;;0;;;;;;;;;
F-14 Tomcat (Williams) (Ultimate) (1.03);F-14 Tomcat (Ultimate);Future Pinball;;1987;Williams;;;;;;0;;;;;;;;;
FJ Holden (Hankin) (1978) (1.0);FJ Holden;Future Pinball;;1978;Hankin;;;;;;0;;;;;;;;;
Family Guy (Stern) (2007) (GE) (1.02);Family Guy (Gold Edition);Future Pinball;;2007;Stern;;;;;;0;;;;;;;;;
Far Out (Gottlieb) (1974) (1.0c);Far Out;Future Pinball;;1974;Gottlieb;;;;;;0;;;;;;;;;
Fast Draw (Gottlieb) (1975) (Ultimate Edition) (1.01);Fast Draw (Ultimate Edition);Future Pinball;;1975;Gottlieb;;;;;;0;;;;;;;;;
Find Nemo (Original) (2014) (1.0);Find Nemo;Future Pinball;;2014;Original;;;;;;0;;;;;;;;;
Fireball (Home Version) (Bally) (1976) (UE) (1.03);Fireball (Home Version) (UE);Future Pinball;;1976;Bally;;;;;;0;;;;;;;;;
Firepower (Williams) (1980) (Ultimate) (1.01);Firepower (Ultimate);Future Pinball;;1980;Williams;;;;;;0;;;;;;;;;
Fish Tales (Williams) (1992) (1.2);Fish Tales;Future Pinball;;1992;Williams;;;;;;0;;;;;;;;;
Fist of the North Star (Original) (2014) (1.0b);Fist of the North Star;Future Pinball;;2014;Original;;;;;;0;;;;;;;;;
Flame Reaper (Original) (2010) (UE) (1.02);Flame Reaper (Ultra Edition);Future Pinball;;2010;Original;;;;;;0;;;;;;;;;
Flash Gordon (Bally) (1980) (Ultimate Edition) (1.01);Flash Gordon (Ultimate Edition);Future Pinball;;1980;Bally;;;;;;0;;;;;;;;;
Flight 2000 (Stern) (1980) (Ultimate) (1.01);Flight 2000 (Ultimate);Future Pinball;;1980;Stern;;;;;;0;;;;;;;;;
Flipper Parade (Gottlieb) (1961) (2.00);Flipper Parade;Future Pinball;;1961;Gottlieb;;;;;;0;;;;;;;;;
Flying Zombie (Original) (2014) (1.2);Flying Zombie;Future Pinball;;2014;Original;;;;;;0;;;;;;;;;
Frankenstein (Original) (2014) (1.0);Frankenstein;Future Pinball;;2014;Original;;;;;;0;;;;;;;;;
Fright Night (Original) (2014) (0.2);Fright Night;Future Pinball;;2014;Original;;;;;;0;;;;;;;;;
Frontier (Bally) (1980) (1.0);Frontier;Future Pinball;;1980;Bally;;;;;;0;;;;;;;;;
Full House (Williams) (1966) (1.0);Full House;Future Pinball;;1966;Williams;;;;;;0;;;;;;;;;
Fun House (Williams) (1990) (1.12);Fun House;Future Pinball;;1990;Williams;;;;;;0;;;;;;;;;
Galaxy (Stern) (1980) (Ultimate) (1.01);Galaxy (Ultimate);Future Pinball;;1980;Stern;;;;;;0;;;;;;;;;
Galaxy Girl (Original) (2014) (1.0);Galaxy Girl;Future Pinball;;2014;Original;;;;;;0;;;;;;;;;
Game of Thrones (Original) (2013) (2.1);Game of Thrones;Future Pinball;;2013;Original;;;;;;0;;;;;;;;;
Geauga Lake (Original) (2015) (1.2);Geauga Lake;Future Pinball;;2015;Original;;;;;;0;;;;;;;;;
Genie (Gottlieb) (1979) (1.0);Genie;Future Pinball;;1979;Gottlieb;;;;;;0;;;;;;;;;
Getaway (Williams) (1992) (1.0);Getaway;Future Pinball;;1992;Williams;;;;;;0;;;;;;;;;
Ghostbusters (Original) (1.0);Ghostbusters;Future Pinball;;2013;Original;;;;;;0;;;;;;;;;
Gilligan's Island (Bally) (1991) (1.1);Gilligan's Island;Future Pinball;;1991;Bally;;;;;;0;;;;;;;;;
Gladiators (Gottlieb) (1993) (1.0);Gladiators;Future Pinball;;1993;Gottlieb;;;;;;0;;;;;;;;;
Godzilla Unleashed (Original) (2015) (1.0);Godzilla Unleashed;Future Pinball;;2015;Original;;;;;;0;;;;;;;;;
Gold Rush (Williams) (1971) (1.2);Gold Rush;Future Pinball;;1971;Williams;;;;;;0;;;;;;;;;
Gold Strike (Gottlieb) (1975) (2.00);Gold Strike;Future Pinball;;1975;Gottlieb;;;;;;0;;;;;;;;;
Goldorak (Original) (2013) (1.1);Goldorak;Future Pinball;;2012;Original;;;;;;0;;;;;;;;;
Goldrake (Original) (2015) (1.0);Goldrake;Future Pinball;;2015;Original;;;;;;0;;;;;;;;;
Gorgar (Williams) (1979) (Ultimate) (1.01);Gorgar (Ultimate);Future Pinball;;1979;Williams;;;;;;0;;;;;;;;;
Gradius (Original) (2015) (1.0);Gradius;Future Pinball;;2015;Original;;;;;;0;;;;;;;;;
Grand Prix (Williams) (1976) (1.20);Grand Prix;Future Pinball;;1976;Williams;;;;;;0;;;;;;;;;
Gremlins Mega Madness (Original) (Physics 2,5);Gremlins Mega Madness;Future Pinball;;2012;Original;;;;;;0;;;;;;;;;
Grievous (Original) (2015) (2.0);Grievous;Future Pinball;;2015;Original;;;;;;0;;;;;;;;;
Happy Clown (Gottlieb) (1964) (3.0);Happy Clown;Future Pinball;;1964;Gottlieb;;;;;;0;;;;;;;;;
Heavy Metal (Original) (1981 Edition);Heavy Metal;Future Pinball;;2012;Original;;;;;;0;;;;;;;;;
Heavy Metal Meltdown (Bally) (1987) (1.1);Heavy Metal Meltdown;Future Pinball;;1987;Bally;;;;;;0;;;;;;;;;
Hell (Gottlieb) (1980) (1.0);Hell;Future Pinball;;1980;Gottlieb;;;;;;0;;;;;;;;;
Hellraiser (Original) (2014) (1.0);Hellraiser;Future Pinball;;2014;Original;;;;;;0;;;;;;;;;
High Hand (Gottlieb) (1973) (2.00);High Hand;Future Pinball;;1973;Gottlieb;;;;;;0;;;;;;;;;
High Speed Hot Pursuit (Williams) (1986) (Ultimate) (1.03);High Speed Hot Pursuit (Ultimate);Future Pinball;;1986;Williams;;;;;;0;;;;;;;;;
Honkies From Outer Space (Original) (2014) (1.0);Honkies From Outer Space;Future Pinball;;2014;Original;;;;;;0;;;;;;;;;
Hot Tip SS (Williams) (1977) (100);Hot Tip SS;Future Pinball;;1977;Williams;;;;;;0;;;;;;;;;
Hulk (Gottlieb) (1970) (1.01);Hulk;Future Pinball;;1970;Gottlieb;;;;;;0;;;;;;;;;
Hungry Dead, The (Original) (1.0);Hungry Dead, The;Future Pinball;;2005;Original;;;;;;0;;;;;;;;;
I Robot (Original) (1.2);I Robot;Future Pinball;;2012;Original;;;;;;0;;;;;;;;;
Indiana Jones And The Kingdom Of Crystall Skull (21.05.2013);Indiana Jones And The Kingdom Of Crystall Skull;Future Pinball;;2013;Original;;;;;;0;;;;;;;;;
Indiana Jones Pinball Adventure (Williams) (1993) (Ultimate Edition) (1.01);Indiana Jones Pinball Adventure (Ultimate Edition);Future Pinball;;1993;Williams;;;;;;0;;;;;;;;;
Iron Man (Stern) (2010) (Gold Edition) (1.07);Iron Man (Gold Edition);Future Pinball;;2010;Stern;;;;;;0;;;;;;;;;
Iron Man (Stern) (2010) (Ultimate) (1.04);Iron Man (Ultimate);Future Pinball;;2010;Stern;;;;;;0;;;;;;;;;
Jaws (Original) (Ultimate) (1.01);Jaws;Future Pinball;;2012;Original;;;;;;0;;;;;;;;;
Joker Poker (Gottlieb) (1978) (UE) (1.01);Joker Poker (UE);Future Pinball;;1978;Gottlieb;;;;;;0;;;;;;;;;
Jokerz! (Williams) (1988) (1.0);Jokerz!;Future Pinball;;1988;Williams;;;;;;0;;;;;;;;;
Journey To The Center Of The Earth (Original) (2013) (1.0);Journey To The Center Of The Earth;Future Pinball;;2013;Original;;;;;;0;;;;;;;;;
Jumaci (Jumaci SL) () (1.0);Jumaci;Future Pinball;;??;Jumaci SL;;;;;;0;;;;;;;;;
Jumanji (Original) (2014) (1.2);Jumanji;Future Pinball;;2014;Original;;;;;;0;;;;;;;;;
Jungle (Williams) (1960) (2.0);Jungle;Future Pinball;;1960;Williams;;;;;;0;;;;;;;;;
Jungle Boy (Original) (1.0);Jungle Boy;Future Pinball;;2009;Original;;;;;;0;;;;;;;;;
Jungle Lord (Williams) (1981) (1.1);Jungle Lord;Future Pinball;;1981;Williams;;;;;;0;;;;;;;;;
Jungle Queen (Gottlieb) (1977) (1.0);Jungle Queen;Future Pinball;;1977;Gottlieb;;;;;;0;;;;;;;;;
Junk Yard (Williams) (1996) (1.0);Junk Yard;Future Pinball;;1996;Williams;;;;;;0;;;;;;;;;
Junkyard Cats (Original) (1.0);Junkyard Cats;Future Pinball;;2012;Original;;;;;;0;;;;;;;;;
Jurassic Park (Data East) (1993) (UE) (1.05);Jurassic Park (UE);Future Pinball;;1993;Data East;;;;;;0;;;;;;;;;
Kali's Bloodthirst (Original) (2013) (1.0);Kali's Bloodthirst;Future Pinball;;2013;Original;;;;;;0;;;;;;;;;
Kang & Kodos (Original) (2015) (1.0);Kang & Kodos;Future Pinball;;2015;Original;;;;;;0;;;;;;;;;
Killer Klowns From Outer Space (Original) (1.5);Killer Klowns From Outer Space;Future Pinball;;2006;Original;;;;;;0;;;;;;;;;
King Kong (Data East) (1990) (1.1);King Kong;Future Pinball;;1990;Data East;;;;;;0;;;;;;;;;
King Kong (Original) (2014) (1.0);King Kong;Future Pinball;;2014;Original;;;;;;0;;;;;;;;;
Kiss (Bally) (1979) (UE) (1.1);Kiss (UE);Future Pinball;;1979;Bally;;;;;;0;;;;;;;;;
Klingons (Original) (2015) (2.0);Klingons;Future Pinball;;2015;Original;;;;;;0;;;;;;;;;
Klondike (Williams) (1971) (1.2);Klondike;Future Pinball;;1971;Williams;;;;;;0;;;;;;;;;
Knight Rider (Original) (Physics 2.5);Knight Rider;Future Pinball;;2012;Original;;;;;;0;;;;;;;;;
La Petite Vie (Original) (2014) (1.2);La Petite Vie;Future Pinball;;2014;Original;;;;;;0;;;;;;;;;
Ladies of Comics Demo (Original) (2014) (1.0);Ladies of Comics Demo;Future Pinball;;2014;Original;;;;;;0;;;;;;;;;
