#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;Series;Language;Region;Rating
Grand Lizard (1986);Grand Lizard (1986);Visual Pinball;;;;;;;;;;;;;;;;;;
Grand Prix (1976);Grand Prix (1976);Visual Pinball;;;;;1;;;;;;;Grand Prix;;;;;;
Granny and the Gators (1984);Granny and the Gators (1984);Visual Pinball;;;;;;;;;;;;;;;;;;
Guns and Roses (1994);Guns and Roses (1994);Visual Pinball;;;;;;;;;;;;;;;;;;
Harlem Globetrotters (1978);Harlem Globetrotters (1978);Visual Pinball;;;;;4;;;;;;;Harlem Globetrotters;;;;;;
Harley Davidson (1991);Harley Davidson (1991);Visual Pinball;;;;;1;;;;;;;Harley Davidson;;;;;;
Haunted House (1982);Haunted House (1982);Visual Pinball;;;;;;;;;;;;Haunted House;;;;;;
Hawkman (1981);Hawkman (1981);Visual Pinball;;;;;;;;;;;;;;;;;;
Hearts And Spades (1969);Hearts And Spades (1969);Visual Pinball;;;;;;;;;;;;;;;;;;
High Speed (1986);High Speed (1986);Visual Pinball;;;;;1;;;;;;;High Speed;;;;;;
Hit The Deck (1978);Hit The Deck (1978);Visual Pinball;;;;;;;;;;;;;;;;;;
Hook (1992);Hook (1992);Visual Pinball;;;;;1;;;;;;;Hook;;;;;;
Hot Doggin' (1979);Hot Doggin' (1979);Visual Pinball;;;;;;;;;;;;;;;;;;
Hot Hand (1979);Hot Hand (1979);Visual Pinball;;;;;;;;;;;;;;;;;;
Hot Shots (1989);Hot Shots (1989);Visual Pinball;;;;;;;;;;;;;;;;;;
Indiana Jones (2008);Indiana Jones (2008);Visual Pinball;;;;;;;;;;;;;;;;;;
Indianapolis (1995);Indianapolis (1995);Visual Pinball;;;;;;;;;;;;;;;;;;
Iron Man (2010);Iron Man (2010);Visual Pinball;;;;;;;;;;;;Iron Man;;;;;;
Jacks to Open (1984);Jacks to Open (1984);Visual Pinball;;;;;;;;;;;;;;;;;;
James Bond 007 (1980);James Bond 007 (1980);Visual Pinball;;;;;1;;;;;;;James Bond 007;;;;;;
Joker Poker (1978);Joker Poker (1978);Visual Pinball;;;;;;;;;;;;;;;;;;
Jokerz (1988);Jokerz (1988);Visual Pinball;;;;;;;;;;;;;;;;;;
Jolly Park (1996);Jolly Park (1996);Visual Pinball;;;;;;;;;;;;;;;;;;
Jumping Jack (1973);Jumping Jack (1973);Visual Pinball;;;;;2;;;;;;;Jumping Jack;;;;;;
Junk Yard (1996);Junk Yard (1996);Visual Pinball;;;;;;;;;;;;;;;;;;
Jurassic Park (1993);Jurassic Park (1993);Visual Pinball;;;;;1;;;;;;;Jurassic Park;;;;;;
KISS (2015);KISS (2015);Visual Pinball;;;;;;;;;;;;;;;;;;
King Of Diamonds (1967);King Of Diamonds (1967);Visual Pinball;;;;;;;;;;;;;;;;;;
Kingpin (1996);Kingpin (1996);Visual Pinball;;;;;;;;;;;;;;;;;;
Kings and Queens (1965);Kings and Queens (1965);Visual Pinball;;;;;;;;;;;;;;;;;;
Kiss (Bally 1979);Kiss (Bally 1979);Visual Pinball;;;;;;;;;;;;;;;;;;
Krull (1983);Krull (1983);Visual Pinball;;;;;2;;;;;;;Krull;;;;;;
Lady Dead (1983);Lady Dead (1983);Visual Pinball;;;;;;;;;;;;;;;;;;
Lady Luck (1986);Lady Luck (1986);Visual Pinball;;;;;;;;;;;;;;;;;;
Last Action Hero (1994);Last Action Hero (1994);Visual Pinball;;;;;1;;;;;;;Last Action Hero;;;;;;
Lectronamo (1978);Lectronamo (1978);Visual Pinball;;;;;;;;;;;;;;;;;;
Legend of Zelda (2010);Legend of Zelda (2010);Visual Pinball;;;;;1;;;;;;;The Legend Of Zelda ;;;;;;
Lethal Weapon 3 (1992);Lethal Weapon 3 (1992);Visual Pinball;;;;;;;;;;;;;;;;;;
Lightning (1981);Lightning (1981);Visual Pinball;;;;;;;;;;;;;;;;;;
Lord of the Rings (2003);Lord of the Rings (2003);Visual Pinball;;;;;1;;;;;;;Lord of the Rings;;;;;;
Lost World (1977);Lost World (1977);Visual Pinball;;;;;;;;;;;;;;;;;;
Lucky Strike (1978);Lucky Strike (1978);Visual Pinball;;;;;;;;;;;;;;;;;;
Lunelle (1982);Lunelle (1982);Visual Pinball;;;;;;;;;;;;;;;;;;
Mac Jungle (1987);Mac Jungle (1987);Visual Pinball;;;;;;;;;;;;;;;;;;
Mad Race (1985);Mad Race (1985);Visual Pinball;;;;;;;;;;;;;;;;;;
Magic Castle (1984);Magic Castle (1984);Visual Pinball;;;;;;;;;;;;;;;;;;
Magnotron (1974);Magnotron (1974);Visual Pinball;;;;;;;;;;;;;;;;;;
Mata Hari (1977);Mata Hari (1977);Visual Pinball;;;;;;;;;;;;;;;;;;
Medieval Madness (1997);Medieval Madness (1997);Visual Pinball;;;;;;;;;;;;;;;;;;
Medusa (1981);Medusa (1981);Visual Pinball;;;;;;;;;;;;;;;;;;
Metallica (2013);Metallica (2013);Visual Pinball;;;;;;;;;;;;;;;;;;
Meteor (1979);Meteor (1979);Visual Pinball;;;;;;;;;;;;;;;;;;
Mississippi (1973);Mississippi (1973);Visual Pinball;;;;;;;;;;;;;;;;;;
Monopoly (2001);Monopoly (2001);Visual Pinball;;;;;;;;;;;;Monopoly;;;;;;
Monster Bash (1998);Monster Bash (1998);Visual Pinball;;;;;1;;;;;;;Monster Bash;;;;;;
Motor Show (1989);Motor Show (1989);Visual Pinball;;;;;;;;;;;;;;;;;;
Mr Black (1982);Mr Black (1982);Visual Pinball;;;;;;;;;;;;;;;;;;
Mustang (2014);Mustang (2014);Visual Pinball;;;;;;;;;;;;;;;;;;
Mystic (1980);Mystic (1980);Visual Pinball;;;;;;;;;;;;;;;;;;
NBA-Fastbreak (1997);NBA-Fastbreak (1997);Visual Pinball;;;;;;;;;;;;;;;;;;
Nascar Race (1998);Nascar Race (1998);Visual Pinball;;;;;;;;;;;;;;;;;;
Night of the Living Dead (1968) (Original 2018);Night of the Living Dead (1968) (Original 2018);Visual Pinball;;;;;;;;;;;;;;;;;;
Nine Ball (1980);Nine Ball (1980);Visual Pinball;;;;;;;;;;;;;;;;;;
Nitro Ground Shaker (1980);Nitro Ground Shaker (1980);Visual Pinball;;;;;;;;;;;;;;;;;;
No Good Gofers (1997);No Good Gofers (1997);Visual Pinball;;;;;;;;;;;;;;;;;;
Nudge Test and Calibration (2019);Nudge Test and Calibration (2019);Visual Pinball;;;;;;;;;;;;;;;;;;
Oba Oba (1980);Oba Oba (1980);Visual Pinball;;;;;;;;;;;;;;;;;;
Old Chicago (1975);Old Chicago (1975);Visual Pinball;;;;;;;;;;;;;;;;;;
Old Coney Island (1979);Old Coney Island (1979);Visual Pinball;;;;;;;;;;;;;;;;;;
Panthera (1980);Panthera (1980);Visual Pinball;;;;;;;;;;;;;;;;;;
Papa Smurf (1976);Papa Smurf (1976);Visual Pinball;;;;;;;;;;;;;;;;;;
Paragon (1978);Paragon (1978);Visual Pinball;;;;;4;;;;;;;Paragon;;;;;;
Party Zone (1991);Party Zone (1991);Visual Pinball;;;;;;;;;;;;;;;;;;
Penthouse (2008);Penthouse (2008);Visual Pinball;;;;;;;;;;;;;;;;;;
PinBot (1986);PinBot (1986);Visual Pinball;;;;;1;;;;;;;Pin-Bot;;;;;;
Pinball Champ 82 (1982);Pinball Champ 82 (1982);Visual Pinball;;;;;;;;;;;;;;;;;;
Pinball Magic (1995);Pinball Magic (1995);Visual Pinball;;;;;;;;;;;;Pinball Magic;;;;;;
Pinball Pool (1979);Pinball Pool (1979);Visual Pinball;;;;;;;;;;;;;;;;;;
Pirates of the Caribbean (2006);Pirates of the Caribbean (2006);Visual Pinball;;;;;1;;;;;;;Pirates of the Caribbean;;;;;;
Playboy (1978);Playboy (1978);Visual Pinball;;;;;;;;;;;;;;;;;;
Pokemon (1999);Pokemon (1999);Visual Pinball;;;;;;;;;;;;;;;;;;
Polar Explorer (1980);Polar Explorer (1980);Visual Pinball;;;;;;;;;;;;;;;;;;
Pool Sharks (1990);Pool Sharks (1990);Visual Pinball;;;;;;;;;;;;;;;;;;
Popeye saves the Earth (1994);Popeye saves the Earth (1994);Visual Pinball;;;;;;;;;;;;;;;;;;
Power Play (1977);Power Play (1977);Visual Pinball;;;;;2;;;;;;;Power Play;;;;;;
QBerts Quest (1983);QBerts Quest (1983);Visual Pinball;;;;;;;;;;;;;;;;;;
Rack-A-Ball (1962);Rack-A-Ball (1962);Visual Pinball;;;;;;;;;;;;;;;;;;
Radical (1990);Radical (1990);Visual Pinball;;;;;;;;;;;;;;;;;;
Rally (1980);Rally (1980);Visual Pinball;;;;;;;;;;;;;;;;;;
Raven (1986);Raven (1986);Visual Pinball;;;;;;;;;;;;;;;;;;
Ready Aim Fire (1983);Ready Aim Fire (1983);Visual Pinball;;;;;;;;;;;;;;;;;;
Red and Ted's Roadshow (1994);Red and Ted's Roadshow (1994);Visual Pinball;;;;;;;;;;;;;;;;;;
Rescue 911 (1994);Rescue 911 (1994);Visual Pinball;;;;;;;;;;;;;;;;;;
Ripley's Believe It or Not (2004);Ripley's Believe It or Not (2004);Visual Pinball;;;;;;;;;;;;;;;;;;
Road Kings (1986);Road Kings (1986);Visual Pinball;;;;;;;;;;;;;;;;;;
Robocop (1989);Robocop (1989);Visual Pinball;;;;;1;;;;;;;RoboCop;;;;;;
