#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;Series;Language;Region;Rating
De Blob (EU);De Blob (EU);Nintendo Wii;;;;;4;;;;;;;de Blob;;;;;;
Dead Rising - Chop Till You Drop (EU);Dead Rising - Chop Till You Drop (EU);Nintendo Wii;;;;;1;;;;;;;Dead Rising: Chop Till You Drop;;;;;;
Deadly Creatures (EU);Deadly Creatures (EU);Nintendo Wii;;;;;1;;;;;;;Deadly Creatures;;;;;;
Deal or No Deal - The Banker Is Back (EU);Deal or No Deal - The Banker Is Back (EU);Nintendo Wii;;;;;1;;;;;;;Deal or no Deal: The Banker is Back;;;;;;
Death Jr. - Root of Evil (EU);Death Jr. - Root of Evil (EU);Nintendo Wii;;;;;;;;;;;;Death Jr.: Root of Evil;;;;;;
Despicable Me - The Game (EU);Despicable Me - The Game (EU);Nintendo Wii;;;;;1;;;;;;;Despicable Me: The Game;;;;;;
The Destiny of Zorro (EU);The Destiny of Zorro (EU);Nintendo Wii;;;;;1;;;;;;;The Destiny of Zorro;;;;;;
Dewys Adventure (EU);Dewys Adventure (EU);Nintendo Wii;;;;;1;;;;;;;Dewy's Adventure;;;;;;
Diabolik - The Original Sin (EU);Diabolik - The Original Sin (EU);Nintendo Wii;;;;;1;;;;;;;Diabolik: The Original Sin;;;;;;
Dirt 2 (EU);Dirt 2 (EU);Nintendo Wii;;;;;4;;;;;;;DiRT 2;;;;;;
Disaster - Day of Crisis (EU);Disaster - Day of Crisis (EU);Nintendo Wii;;;;;1;;;;;;;Disaster: Day of Crisis;;;;;;
Disney Infinity (EU);Disney Infinity (EU);Nintendo Wii;;;;;2;;;;;;;Disney Infinity;;;;;;
Disney Planes (EU);Disney Planes (EU);Nintendo Wii;;;;;1;;;;;;;Disney Planes;;;;;;
Disney Planes - Fire and Rescue (EU);Disney Planes - Fire and Rescue (EU);Nintendo Wii;;;;;;;;;;;;;;;;;;
Disney Universe (EU);Disney Universe (EU);Nintendo Wii;;;;;4;;;;;;;Disney Universe;;;;;;
Dodge Racing - Charger vs Challenger (EU);Dodge Racing - Charger vs Challenger (EU);Nintendo Wii;;;;;;;;;;;;Dodge Racing: Charger vs Challenger;;;;;;
Don King Boxing (EU);Don King Boxing (EU);Nintendo Wii;;;;;2;;;;;;;Don King Boxing;;;;;;
Donkey Kong - Jet Race (EU);Donkey Kong - Jet Race (EU);Nintendo Wii;;;;;;;;;;;;;;;;;;
Donkey Kong - Jungle Beat (EU);Donkey Kong - Jungle Beat (EU);Nintendo Wii;;;;;1;;;;;;;Donkey Kong Jungle Beat;;;;;;
Donkey Kong Country Returns;Donkey Kong Country Returns;Nintendo Wii;;;;;2;;;;;;;Donkey Kong Country Returns;;;;;;
Doods Big Adventure (EU);Doods Big Adventure (EU);Nintendo Wii;;;;;;;;;;;;;;;;;;
Dora Saves the Crystal Kingdom (EU);Dora Saves the Crystal Kingdom (EU);Nintendo Wii;;;;;;;;;;;;;;;;;;
Dora Saves the Snow Princess (EU);Dora Saves the Snow Princess (EU);Nintendo Wii;;;;;;;;;;;;;;;;;;
Doras Big Birthday Adventure (EU);Doras Big Birthday Adventure (EU);Nintendo Wii;;;;;1;;;;;;;Dora's Big Birthday Adventure;;;;;;
Drag and Stock Racer (EU);Drag and Stock Racer (EU);Nintendo Wii;;;;;;;;;;;;;;;;;;
Dragon Ball - Revenge of King Piccolo (EU);Dragon Ball - Revenge of King Piccolo (EU);Nintendo Wii;;;;;;;;;;;;Dragon Ball: Revenge of King Piccolo;;;;;;
Dragon Ball Z - Budokai Tenkaichi 2 (EU);Dragon Ball Z - Budokai Tenkaichi 2 (EU);Nintendo Wii;;;;;2;;;;;;;Dragon Ball Z: Budokai Tenkaichi 2;;;;;;
Dragon Ball Z - Budokai Tenkaichi 3 (EU);Dragon Ball Z - Budokai Tenkaichi 3 (EU);Nintendo Wii;;;;;2;;;;;;;Dragon Ball Z: Budokai Tenkaichi 3;;;;;;
Dragon Blade - Wrath of Fire (EU);Dragon Blade - Wrath of Fire (EU);Nintendo Wii;;;;;1;;;;;;;Dragon Blade: Wrath of Fire;;;;;;
Dream Pinball 3D (EU);Dream Pinball 3D (EU);Nintendo Wii;;;;;4;;;;;;;Dream Pinball 3D;;;;;;
DreamWorks Super Star Kartz (EU);DreamWorks Super Star Kartz (EU);Nintendo Wii;;;;;;;;;;;;DreamWorks Super Star Kartz;;;;;;
DreamWorks The Croods - Prehistoric Party! and Rise of the Guardians - Combo Pack [SVEPAF] (EU);DreamWorks The Croods - Prehistoric Party! and Rise of the Guardians - Combo Pack [SVEPAF] (EU);Nintendo Wii;;;;;;;;;;;;;;;;;;
