#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;Series;Language;Region;Rating
Plasma Sword - Nightmare of Bilstein;Plasma Sword - Nightmare of Bilstein;Sega Dreamcast;;;;;2;;;;;;;Plasma Sword: Nightmare of Bilstein;;;;;;
Power Stone;Power Stone;Sega Dreamcast;;;;;2;;;;;;;Power Stone;;;;;;
Power Stone 2;Power Stone 2;Sega Dreamcast;;;;;4;;;;;;;Power Stone 2;;;;;;
Prince of Persia - Arabian Nights;Prince of Persia - Arabian Nights;Sega Dreamcast;;;;;;;;;;;;Prince of Persia: Arabian Nights;;;;;;
Pro Pinball Trilogy;Pro Pinball Trilogy;Sega Dreamcast;;;;;1;;;;;;;Pro Pinball Trilogy;;;;;;
Project Justice - Rival Schools 2;Project Justice - Rival Schools 2;Sega Dreamcast;;;;;;;;;;;;;;;;;;
Psychic Force 2012;Psychic Force 2012;Sega Dreamcast;;;;;2;;;;;;;Psychic Force 2012;;;;;;
Psyvariar 2 - The Will to Fabricate;Psyvariar 2 - The Will to Fabricate;Sega Dreamcast;;;;;1;;;;;;;Psyvariar 2: The Will to Fabricate;;;;;;
Puyo Puyo 4;Puyo Puyo 4;Sega Dreamcast;;;;;;;;;;;;;;;;;;
Puyo Puyo Fever;Puyo Puyo Fever;Sega Dreamcast;;;;;2;;;;;;;Puyo Puyo Fever;;;;;;
Q-bert;Q-bert;Sega Dreamcast;;;;;2;;;;;;;Qbert;;;;;;
Racing Simulation 2 - Monaco Grand Prix On-Line;Racing Simulation 2 - Monaco Grand Prix On-Line;Sega Dreamcast;;;;;;;;;;;;;;;;;;
Rainbow Cotton;Rainbow Cotton;Sega Dreamcast;;;;;1;;;;;;;Rainbow Cotton;;;;;;
Rayman 2;Rayman 2;Sega Dreamcast;;;;;1;;;;;;;Rayman 2;;;;;;
Re-Volt;Re-Volt;Sega Dreamcast;;;;;4;;;;;;;Re-Volt;;;;;;
Ready 2 Rumble Boxing;Ready 2 Rumble Boxing;Sega Dreamcast;;;;;2;;;;;;;Ready 2 Rumble Boxing;;;;;;
Ready 2 Rumble Round 2;Ready 2 Rumble Round 2;Sega Dreamcast;;;;;;;;;;;;;;;;;;
Record of Lodoss War;Record of Lodoss War;Sega Dreamcast;;;;;2;;;;;;;Record of Lodoss War;;;;;;
Red Dog - Superior Firepower;Red Dog - Superior Firepower;Sega Dreamcast;;;;;2;;;;;;;Red Dog: Superior Firepower;;;;;;
Redux Dark Matters;Redux Dark Matters;Sega Dreamcast;;;;;1;;;;;;;Redux: Dark Matters;;;;;;
Resident Evil - Code - Veronica X (Spain)(Disc 1);Resident Evil - Code - Veronica X (Spain)(Disc 1);Sega Dreamcast;;;;;1;;;;;;;Resident Evil Code: Veronica X;;;;;;
Resident Evil - Code - Veronica X (Spain)(Disc 2);Resident Evil - Code - Veronica X (Spain)(Disc 2);Sega Dreamcast;;;;;;;;;;;;;;;;;;
Resident Evil 2 (Disc 1 - Leon);Resident Evil 2 (Disc 1 - Leon);Sega Dreamcast;;;;;1;;;;;;;Resident Evil 2;;;;;;
Resident Evil 2 (Disc 2 - Claire);Resident Evil 2 (Disc 2 - Claire);Sega Dreamcast;;;;;;;;;;;;;;;;;;
Resident Evil 3 - Nemesis;Resident Evil 3 - Nemesis;Sega Dreamcast;;;;;1;;;;;;;Resident Evil 3: Nemesis;;;;;;
Rez;Rez;Sega Dreamcast;;;;;1;;;;;;;Rez;;;;;;
The Ring;The Ring;Sega Dreamcast;;;;;;;;;;;;;;;;;;
Samba de Amigo;Samba de Amigo;Sega Dreamcast;;;;;2;;;;;;;Samba de Amigo;;;;;;
San Francisco Rush 2049;San Francisco Rush 2049;Sega Dreamcast;;;;;4;;;;;;;San Francisco Rush 2049;;;;;;
Sega GT;Sega GT;Sega Dreamcast;;;;;;;;;;;;Sega GT;;;;;;
Sega Rally 2;Sega Rally 2;Sega Dreamcast;;;;;;;;;;;;;;;;;;
Sega Worldwide Soccer 2000 - Euro Edition;Sega Worldwide Soccer 2000 - Euro Edition;Sega Dreamcast;;;;;;;;;;;;Sega Worldwide Soccer 2000 Euro Edition;;;;;;
Shadow Man;Shadow Man;Sega Dreamcast;;;;;1;;;;;;;Shadowman;;;;;;
Shenmue CD 1;Shenmue CD 1;Sega Dreamcast;;;;;;;;;;;;;;;;;;
Shenmue CD 2;Shenmue CD 2;Sega Dreamcast;;;;;;;;;;;;;;;;;;
Shenmue CD 3;Shenmue CD 3;Sega Dreamcast;;;;;;;;;;;;;;;;;;
Shenmue CD 4;Shenmue CD 4;Sega Dreamcast;;;;;;;;;;;;;;;;;;
Shenmue 2 CD1;Shenmue 2 CD1;Sega Dreamcast;;;;;;;;;;;;;;;;;;
Shenmue 2 CD2;Shenmue 2 CD2;Sega Dreamcast;;;;;;;;;;;;;;;;;;
Shenmue 2 CD3;Shenmue 2 CD3;Sega Dreamcast;;;;;;;;;;;;;;;;;;
Shenmue 2 CD4;Shenmue 2 CD4;Sega Dreamcast;;;;;;;;;;;;;;;;;;
Shikigami no Shiro II;Shikigami no Shiro II;Sega Dreamcast;;;;;;;;;;;;Shikigami no Shiro II;;;;;;
Silent Scope;Silent Scope;Sega Dreamcast;;;;;4;;;;;;;Silent Scope;;;;;;
Silver;Silver;Sega Dreamcast;;;;;1;;;;;;;Silver;;;;;;
Skies of Arcadia (Disc 1);Skies of Arcadia (Disc 1);Sega Dreamcast;;;;;1;;;;;;;Skies of Arcadia;;;;;;
Skies of Arcadia (Disc 2);Skies of Arcadia (Disc 2);Sega Dreamcast;;;;;;;;;;;;;;;;;;
Slave Zero;Slave Zero;Sega Dreamcast;;;;;1;;;;;;;Slave Zero;;;;;;
SnoCross Championship Racing;SnoCross Championship Racing;Sega Dreamcast;;;;;2;;;;;;;SnoCross Championship Racing;;;;;;
Soldier of Fortune;Soldier of Fortune;Sega Dreamcast;;;;;;;;;;;;Soldier of Fortune;;;;;;
Sonic Adventure;Sonic Adventure;Sega Dreamcast;;;;;2;;;;;;;Sonic Adventure;;;;;;
Sonic Adventure 2;Sonic Adventure 2;Sega Dreamcast;;;;;2;;;;;;;Sonic Adventure 2;;;;;;
Sonic Shuffle;Sonic Shuffle;Sega Dreamcast;;;;;4;;;;;;;Sonic Shuffle;;;;;;
Soul Calibur;Soul Calibur;Sega Dreamcast;;;;;2;;;;;;;Soul Calibur;;;;;;
Soul Fighter;Soul Fighter;Sega Dreamcast;;;;;;;;;;;;Soul Fighter;;;;;;
South Park Rally;South Park Rally;Sega Dreamcast;;;;;4;;;;;;;South Park Rally;;;;;;
Space Channel 5;Space Channel 5;Sega Dreamcast;;;;;1;;;;;;;Space Channel 5;;;;;;
Space Channel 5 Part 2;Space Channel 5 Part 2;Sega Dreamcast;;;;;1;;;;;;;Space Channel 5: Part 2;;;;;;
Spec Ops II - Omega Squad;Spec Ops II - Omega Squad;Sega Dreamcast;;;;;1;;;;;;;Spec Ops II: Omega Squad;;;;;;
Speed Devils;Speed Devils;Sega Dreamcast;;;;;2;;;;;;;Speed Devils;;;;;;
Spider-Man;Spider-Man;Sega Dreamcast;;;;;1;;;;;;;Spider-Man;;;;;;
Spirit of Speed 1937;Spirit of Speed 1937;Sega Dreamcast;;;;;;;;;;;;Spirit of Speed 1937;;;;;;
Sports Jam;Sports Jam;Sega Dreamcast;;;;;2;;;;;;;Sports Jam;;;;;;
Star Wars - Demolition;Star Wars - Demolition;Sega Dreamcast;;;;;2;;;;;;;Star Wars: Demolition;;;;;;
Star Wars - Episode I - Jedi Power Battles;Star Wars - Episode I - Jedi Power Battles;Sega Dreamcast;;;;;2;;;;;;;Star Wars Episode I: Jedi Power Battles;;;;;;
Star Wars - Episode I - Racer;Star Wars - Episode I - Racer;Sega Dreamcast;;;;;2;;;;;;;Star Wars Episode I: Racer;;;;;;
StarLancer;StarLancer;Sega Dreamcast;;;;;2;;;;;;;Starlancer;;;;;;
Striker Pro 2000;Striker Pro 2000;Sega Dreamcast;;;;;2;;;;;;;Striker Pro 2000;;;;;;
Stunt GP;Stunt GP;Sega Dreamcast;;;;;3;;;;;;;Stunt GP;;;;;;
Sturmwind;Sturmwind;Sega Dreamcast;;;;;1;;;;;;;Sturmwind;;;;;;
Super Magnetic Neo;Super Magnetic Neo;Sega Dreamcast;;;;;1;;;;;;;Super Magnetic Neo;;;;;;
Super Runabout - San Francisco Edition;Super Runabout - San Francisco Edition;Sega Dreamcast;;;;;1;;;;;;;Super Runabout: San Francisco Edition;;;;;;
Surf Rocket Racers;Surf Rocket Racers;Sega Dreamcast;;;;;2;;;;;;;Surf Rocket Racers;;;;;;
Suzuki Alstare - Extreme Racing;Suzuki Alstare - Extreme Racing;Sega Dreamcast;;;;;;;;;;;;Suzuki Alstare Extreme Racing;;;;;;
Sword of the Berserk - Guts Rage;Sword of the Berserk - Guts Rage;Sega Dreamcast;;;;;1;;;;;;;Sword of the Berserk: Guts' Rage;;;;;;
TNN Motorsports Hardcore Heat;TNN Motorsports Hardcore Heat;Sega Dreamcast;;;;;2;;;;;;;TNN Motorsports Hardcore Heat;;;;;;
Taxi 2 - Le Jeu;Taxi 2 - Le Jeu;Sega Dreamcast;;;;;;;;;;;;;;;;;;
Tech Romancer;Tech Romancer;Sega Dreamcast;;;;;2;;;;;;;Tech Romancer;;;;;;
Test Drive 6;Test Drive 6;Sega Dreamcast;;;;;;;;;;;;Test Drive 6;;;;;;
Test Drive Le Mans;Test Drive Le Mans;Sega Dreamcast;;;;;4;;;;;;;Test Drive Le Mans;;;;;;
Test Drive V-Rally;Test Drive V-Rally;Sega Dreamcast;;;;;1;;;;;;;Test Drive V-Rally;;;;;;
Tetris 4D;Tetris 4D;Sega Dreamcast;;;;;4;;;;;;;Tetris 4D;;;;;;
Time Stalkers;Time Stalkers;Sega Dreamcast;;;;;1;;;;;;;Time Stalkers;;;;;;
Tokyo Highway Challenge;Tokyo Highway Challenge;Sega Dreamcast;;;;;;;;;;;;;;;;;;
Tokyo Highway Challenge 2;Tokyo Highway Challenge 2;Sega Dreamcast;;;;;;;;;;;;;;;;;;
Tom Clancy's Rainbow Six - Rogue Spear + Mission Pack - Urban Operations;Tom Clancy's Rainbow Six - Rogue Spear + Mission Pack - Urban Operations;Sega Dreamcast;;;;;;;;;;;;;;;;;;
Tom Clancy's Rainbow Six with Eagle Watch Missions;Tom Clancy's Rainbow Six with Eagle Watch Missions;Sega Dreamcast;;;;;;;;;;;;;;;;;;
Tomb Raider - The Last Revelation;Tomb Raider - The Last Revelation;Sega Dreamcast;;;;;1;;;;;;;Tomb Raider: The Last Revelation;;;;;;
Tomb Raider Chronicles;Tomb Raider Chronicles;Sega Dreamcast;;;;;1;;;;;;;Tomb Raider Chronicles;;;;;;
Tony Hawk's Pro Skater 2;Tony Hawk's Pro Skater 2;Sega Dreamcast;;;;;2;;;;;;;Tony Hawk's Pro Skater 2;;;;;;
Tony Hawk's Skateboarding;Tony Hawk's Skateboarding;Sega Dreamcast;;;;;;;;;;;;;;;;;;
Toy Commander;Toy Commander;Sega Dreamcast;;;;;4;;;;;;;Toy Commander;;;;;;
Toy Racer;Toy Racer;Sega Dreamcast;;;;;;;;;;;;Toy Racer;;;;;;
Toy Story 2 - Buzz Lightyear to the Rescue!;Toy Story 2 - Buzz Lightyear to the Rescue!;Sega Dreamcast;;;;;;;;;;;;;;;;;;
TrickStyle;TrickStyle;Sega Dreamcast;;;;;;;;;;;;TrickStyle;;;;;;
